srx	srr
DRX000998	DRR001444
DRX000999	DRR001445
DRX001000	DRR001446
DRX001001	DRR001447
DRX015073	DRR016720
DRX015074	DRR016721
DRX015075	DRR016722
DRX015076	DRR016723
DRX042143	DRR046855
DRX042144	DRR046856
DRX042145	DRR046857
DRX042146	DRR046858
DRX042147	DRR046859
DRX042148	DRR046860
DRX042149	DRR046861
DRX042150	DRR046862
DRX042151	DRR046863
DRX042152	DRR046864
DRX042153	DRR046865
DRX042154	DRR046866
DRX042155	DRR046867
ERX004310	ERR011354
ERX004311	ERR011351
ERX004312	ERR011355
ERX1104349	ERR1025479
ERX1104351	ERR1025481
ERX1104352	ERR1025482
ERX1104353	ERR1025483
ERX1104355	ERR1025485
ERX1104356	ERR1025486
ERX1104357	ERR1025487
ERX1172343	ERR1092789
ERX1172343	ERR1092790
ERX1172343	ERR1092791
ERX1172343	ERR1092792
ERX1172343	ERR1092793
ERX1172343	ERR1092794
ERX1172344	ERR1092795
ERX1172344	ERR1092796
ERX1172344	ERR1092797
ERX1172344	ERR1092798
ERX1172344	ERR1092799
ERX1172344	ERR1092800
ERX1172345	ERR1092801
ERX1172345	ERR1092802
ERX1172345	ERR1092803
ERX1172345	ERR1092804
ERX1172345	ERR1092805
ERX1172345	ERR1092806
ERX1172346	ERR1092807
ERX1172346	ERR1092808
ERX1172346	ERR1092809
ERX1172346	ERR1092810
ERX1172346	ERR1092811
ERX1172346	ERR1092812
ERX1172347	ERR1092813
ERX1172347	ERR1092814
ERX1172347	ERR1092815
ERX1172347	ERR1092816
ERX1172347	ERR1092817
ERX1172347	ERR1092818
ERX1172348	ERR1092819
ERX1172348	ERR1092820
ERX1172348	ERR1092821
ERX1172348	ERR1092822
ERX1172348	ERR1092823
ERX1172348	ERR1092824
ERX1172349	ERR1092825
ERX1172349	ERR1092826
ERX1172349	ERR1092827
ERX1172349	ERR1092828
ERX1172349	ERR1092829
ERX1172349	ERR1092830
ERX1172350	ERR1092831
ERX1172350	ERR1092832
ERX1172350	ERR1092833
ERX1172350	ERR1092834
ERX1172350	ERR1092835
ERX1172350	ERR1092836
ERX1172351	ERR1092837
ERX1172351	ERR1092838
ERX1172352	ERR1092839
ERX1172352	ERR1092840
ERX1172353	ERR1092841
ERX1172353	ERR1092842
ERX1172354	ERR1092843
ERX1172354	ERR1092844
ERX1172355	ERR1092845
ERX1172355	ERR1092846
ERX1172355	ERR1092847
ERX1172355	ERR1092848
ERX1172356	ERR1092849
ERX1172356	ERR1092850
ERX1172356	ERR1092851
ERX1172356	ERR1092852
ERX1172357	ERR1092853
ERX1172357	ERR1092854
ERX1172357	ERR1092855
ERX1172357	ERR1092856
